host_time_iso,elapsed_s,firmware,board_id,sequence,average,temperature_c,bx_mt,by_mt,bz_mt,status_hex,raw_line
2026-07-16T01:09:29.055,21570.410,0.5.2-alpha1a,4,30565,10,27.9600,-0.0700,-0.2900,0.1500,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30565,AVG=10,CAL=DEFAULT,T=27.96,BX=-0.07,BY=-0.29,BZ=0.15,STATUS=0x11"
2026-07-16T01:09:30.487,21571.841,0.5.2-alpha1a,4,30566,10,28.0600,-0.0900,-0.2100,0.0800,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30566,AVG=10,CAL=DEFAULT,T=28.06,BX=-0.09,BY=-0.21,BZ=0.08,STATUS=0x51"
2026-07-16T01:09:31.923,21573.278,0.5.2-alpha1a,4,30567,10,27.8200,-0.0600,-0.2100,0.0800,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30567,AVG=10,CAL=DEFAULT,T=27.82,BX=-0.06,BY=-0.21,BZ=0.08,STATUS=0x91"
2026-07-16T01:09:33.174,21574.529,0.5.2-alpha1a,4,30568,10,27.8200,-0.1100,-0.2200,0.1200,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30568,AVG=10,CAL=DEFAULT,T=27.82,BX=-0.11,BY=-0.22,BZ=0.12,STATUS=0xD1"
2026-07-16T01:09:34.559,21575.914,0.5.2-alpha1a,4,30569,10,27.7700,-0.1200,-0.3800,0.1500,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30569,AVG=10,CAL=DEFAULT,T=27.77,BX=-0.12,BY=-0.38,BZ=0.15,STATUS=0x11"
2026-07-16T01:09:35.994,21577.349,0.5.2-alpha1a,4,30570,10,27.9100,-0.1300,-0.2800,0.1600,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30570,AVG=10,CAL=DEFAULT,T=27.91,BX=-0.13,BY=-0.28,BZ=0.16,STATUS=0x51"
2026-07-16T01:09:37.424,21578.779,0.5.2-alpha1a,4,30571,10,27.7400,-0.0700,-0.2900,0.1300,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30571,AVG=10,CAL=DEFAULT,T=27.74,BX=-0.07,BY=-0.29,BZ=0.13,STATUS=0x91"
2026-07-16T01:09:38.844,21580.199,0.5.2-alpha1a,4,30572,10,27.9600,-0.0200,-0.3300,0.1100,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30572,AVG=10,CAL=DEFAULT,T=27.96,BX=-0.02,BY=-0.33,BZ=0.11,STATUS=0xD1"
2026-07-16T01:09:40.101,21581.456,0.5.2-alpha1a,4,30573,10,27.9200,-0.1200,-0.2600,0.1100,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30573,AVG=10,CAL=DEFAULT,T=27.92,BX=-0.12,BY=-0.26,BZ=0.11,STATUS=0x11"
2026-07-16T01:09:41.487,21582.842,0.5.2-alpha1a,4,30574,10,28.1400,-0.1900,-0.2000,0.1700,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30574,AVG=10,CAL=DEFAULT,T=28.14,BX=-0.19,BY=-0.20,BZ=0.17,STATUS=0x51"
2026-07-16T01:09:42.896,21584.251,0.5.2-alpha1a,4,30575,10,27.7400,-0.0800,-0.2600,0.1700,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30575,AVG=10,CAL=DEFAULT,T=27.74,BX=-0.08,BY=-0.26,BZ=0.17,STATUS=0x91"
2026-07-16T01:09:44.342,21585.697,0.5.2-alpha1a,4,30576,10,28.2600,-0.0800,-0.3000,0.1200,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30576,AVG=10,CAL=DEFAULT,T=28.26,BX=-0.08,BY=-0.30,BZ=0.12,STATUS=0xD1"
2026-07-16T01:09:45.749,21587.104,0.5.2-alpha1a,4,30577,10,28.0400,-0.1200,-0.2100,0.1100,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30577,AVG=10,CAL=DEFAULT,T=28.04,BX=-0.12,BY=-0.21,BZ=0.11,STATUS=0x11"
2026-07-16T01:09:47.157,21588.511,0.5.2-alpha1a,4,30578,10,28.0100,-0.1200,-0.3000,0.1300,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30578,AVG=10,CAL=DEFAULT,T=28.01,BX=-0.12,BY=-0.30,BZ=0.13,STATUS=0x51"
2026-07-16T01:09:48.414,21589.769,0.5.2-alpha1a,4,30579,10,28.0100,-0.0400,-0.3800,0.1100,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30579,AVG=10,CAL=DEFAULT,T=28.01,BX=-0.04,BY=-0.38,BZ=0.11,STATUS=0x91"
2026-07-16T01:09:49.827,21591.181,0.5.2-alpha1a,4,30580,10,27.7700,-0.1300,-0.2200,0.1100,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30580,AVG=10,CAL=DEFAULT,T=27.77,BX=-0.13,BY=-0.22,BZ=0.11,STATUS=0xD1"
2026-07-16T01:09:51.255,21592.610,0.5.2-alpha1a,4,30581,10,28.0400,-0.0900,-0.2900,0.0900,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30581,AVG=10,CAL=DEFAULT,T=28.04,BX=-0.09,BY=-0.29,BZ=0.09,STATUS=0x11"
2026-07-16T01:09:52.676,21594.030,0.5.2-alpha1a,4,30582,10,28.2700,-0.1200,-0.2100,0.1300,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30582,AVG=10,CAL=DEFAULT,T=28.27,BX=-0.12,BY=-0.21,BZ=0.13,STATUS=0x51"
2026-07-16T01:09:54.088,21595.442,0.5.2-alpha1a,4,30583,10,27.8700,-0.0600,-0.3000,0.0400,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30583,AVG=10,CAL=DEFAULT,T=27.87,BX=-0.06,BY=-0.30,BZ=0.04,STATUS=0x91"
2026-07-16T01:09:55.346,21596.700,0.5.2-alpha1a,4,30584,10,28.0600,-0.0900,-0.2500,0.0800,0xD1,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30584,AVG=10,CAL=DEFAULT,T=28.06,BX=-0.09,BY=-0.25,BZ=0.08,STATUS=0xD1"
2026-07-16T01:09:56.726,21598.080,0.5.2-alpha1a,4,30585,10,27.9100,-0.1100,-0.3500,0.1200,0x11,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30585,AVG=10,CAL=DEFAULT,T=27.91,BX=-0.11,BY=-0.35,BZ=0.12,STATUS=0x11"
2026-07-16T01:09:58.136,21599.490,0.5.2-alpha1a,4,30586,10,27.9200,-0.1300,-0.2500,0.1700,0x51,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30586,AVG=10,CAL=DEFAULT,T=27.92,BX=-0.13,BY=-0.25,BZ=0.17,STATUS=0x51"
2026-07-16T01:09:59.563,21600.917,0.5.2-alpha1a,4,30587,10,27.9600,-0.1700,-0.2100,0.1300,0x91,"$ND280,VER=0.5.2-alpha1a,ID=4,SEQ=30587,AVG=10,CAL=DEFAULT,T=27.96,BX=-0.17,BY=-0.21,BZ=0.13,STATUS=0x91"
